"""Location",River,Code,Longitude,Latitude,Capacity (acre-feet),Drainage area (square miles),Year completed,Type,Owner,Source Page,"""Reservoir",Creek/River,Lat,Long,Area,Volume,Year Built,"""State",Lake/River,Year,Entity,Name of Reservoir,Stream and Station No.,Basin Index and Latitude,Drainage Area (Square Miles),Storage in Acre-Feet,Usable,Use,Storage Records Published,"""Name of reservoir",Location and Basin,stream index and station no,Surface area (acres),Storage in acre-feet,Related River,Authority,Stream Index and Station No,Latitude and Longitude,Drainage Area (square miles),Dead Storage in acre feet,Total Storage in acre feet,Usable Storage in acre feet,Storage Ratio,Year Completed,Operator,Location,Reservoir Name,Stream,Basin Index and Station No,Square Miles,Usable Storage,Water Source,Coordinates,Drainage Basin,Index and ant stream station no,Date completed,Owner or operator,Storage records published,Basin Code,Surface (acres)
Miltona Lake (No 6-15),,SAD 05-2446 30,46,95,,,,,,44,,,,,35,,,,,1938,,,,,,,,,,,,,,,Miltona Lake Outlet,Minnesota Department of Conserv,,,,,,,,,,,,,,,,,,,,,,,,
Mud Lake,,SPA 05-0758 00,48,agé,,,,,,44,,,,,7200,,,,,1914,,,,,,,,,,,,,,,Thief River,US Sports Fisheries and Wildlife Service,,,,,,,,,,,,,,,,,,,,,,,,
Namakan Chain (Kettle Falls),,SNC 05-1294 00,46,95,,,,,,44,,,,,430,,,,,1938,,,,,,,,,,,,,,,Rainy River,Minnesota and Ontario Paper Co and Subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,
Onamia Lake (No 7-7),,50B 05-0304 00,46,96,,,,,,44,,,,,1830,,,,,1953,,,,,,,,,,,,,,,Rum River,Minnesota Department of Conserv,,,,,,,,,,,,,,,,,,,,,,,,
Orwell,,SNB 05-1291 00,45,95,,,,,,44,,,,,40,,,,,1939,,,,,,,,,,,,,,,Otter Tail River,Corps of Engineers,,,,,,,,,,,,,,,,,,,,,,,,
Osakis Lake (No 7-23),,50B 05-0302 80,46,95,,,,,,44,,,,,1050,,,,,1937,,,,,,,,,,,,,,,Sauk River,Minnesota Department of Conserv,,,,,,,,,,,,,,,,,,,,,,,,
Otter Tail Lake (No 9-19),,SAC 05-2315 00,46,96,,,,,,44,,,,,214,,,,,1938,,,,,,,,,,,,,,,Otter Tail River,Minnesota Department of Conserv,,,,,,,,,,,,,,,,,,,,,,,,
Pelican Lake (No 9-36),,50B 05-0401 00,48,92,,,,,,44,,,,,70,,,,,19358,,,,,,,,,,,,,,,Pelican River,Pelican Lakes Village,,,,,,,,,,,,,,,,,,,,,,,,
Pelican Lake (No 16-4),,SAC 05-2305 00,46,94,,,,,,44,,,,,585,,,,,19358,,,,,,,,,,,,,,,Pelican River,Minnesota Department of Conserv,,,,,,,,,,,,,,,,,,,,,,,,
Pelican Lake (No 10-43),,SAB 05-2105 00,46,35,,,,,,44,,,,,562,,,,,1886,,,,,,,,,,,,,,,Pelican Lake diversion,Corps of Engineers,,,,,,,,,,,,,,,,,,,,,,,,
Pine Lake (No 9-20),,SAD 05-2436 00,46,94,,,,,,44,,,,,3265,,,,,1889,,,,,,,,,,,,,,,Otter Tail River,Corps of Engineers,,,,,,,,,,,,,,,,,,,,,,,,
Pine River,,SNC 05-1294 00,47,93,,,,,,44,,,,,210,,,,,1939,,,,,,,,,,,,,,,Pine River,Minnesota Department of Conserv,,,,,,,,,,,,,,,,,,,,,,,,
Pokegama,,SPA 05-0740 00,46,95,,,,,,44,,,,,14900,,,,,1903,,,,,,,,,,,,,,,Mississippi River,Minnesota and Ontario Paper Co and Subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,
Potato Lake (No 12-17),,46,95,1950,,,,,,44,,,,,1931,,,,,Corps of Engineers,,,,,,,,,,,,,,,Fish Hook River,,,,,,,,,,,,,,,,,,,,,,,,,
Rainy Lake,,48,93,1791,,,,,,44,,,,,1938,,,,,PA ef,,,,,,,,,,,,,,,Rainy River,,,,,,,,,,,,,,,,,,,,,,,,,
Red Lake,,42,95,132520,,,,,,44,,,,,1939,,,,,PA ef,,,,,,,,,,,,,,,Red Lake River,,,,,,,,,,,,,,,,,,,,,,,,,
See footnotes at end of table,,45,5S,5322,,,,,,44,,,,,1938,,,,,PB,,,,,,,,,,,,,,,50B 05-0304 00,,,,,,,,,,,,,,,,,,,,,,,,,
50B 05-0401 00,,46,28120,1953,,,,,,44,,,,,PA ef,,,,,,,,,,,,,,,,,,,,08,,,,,,,,,,,,,,,,,,,,,,,,,
SAH 05-2844 80,,24,66600,1939,,,,,,44,,,,,PA,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,,,,,,,,,,,,,,,,,
SOB 05-0459 50,,00,2856,1937,,,,,,44,,,,,PA,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
SAF 05-2701 00,,38,b1,110,,,,,,44,,,,,1938,,,,,PA,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
50B 05-0302 80,,40,6587,19358,,,,,,44,,,,,PB,,,,,,,,,,,,,,,,,,,,oS,,,,,,,,,,,,,,,,,,,,,,,,,
SAC 05-2305 00,,il,14745,19358,,,,,,44,,,,,PA,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
SAB 05-2105 00,,os,4200,1886,,,,,,44,,,,,VLOSUNNIW NI SUYIOANSSHY,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,
SAD 05-2436 00,,44,11800,1889,,,,,,44,,,,,6S,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,
SNC 05-1294 00,,o1,9835,1939,,,,,,44,,,,,Minnesota Depart- ment of Conserv,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,
SPA 05-0740 00,,50,4820,1903,,,,,,44,,,,,Minnesota Depart- ment of Conserv,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,,,,,,,,,,,,,,,,,
46,,15190,1931,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,
48,,22080,1938,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,
42,,2054,1939,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,
45,,221000,1938,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,5S,,,,,,,,,,,,,,,,,,,,,,,,,
08,,288800,1953,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,
02,,2686,1939,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
20,,3700000,1937,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,00,,,,,,,,,,,,,,,,,,,,,,,,,
30,,142600,1938,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,
oS,,210,19358,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,
13,,19702,19358,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,il,,,,,,,,,,,,,,,,,,,,,,,,,
54,,3965000,1886,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,os,,,,,,,,,,,,,,,,,,,,,,,,,
22,,43730,1889,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,
40,,20400,1939,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,o1,,,,,,,,,,,,,,,,,,,,,,,,,
02,,34420,1903,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
37,,8216,1931,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
36,,3270000,1938,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
40,,p13, 790,1939,,,,,,44,,,,,Minnesota Depart- ment of Conserv,,,,,,,,,,,,,,,,,,,,O7,,,,,,,,,,,,,,,,,,,,,,,,,
16,,265 ,000,1937,,,,,,44,,,,,Minnesota Depart- ment of Conserv,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,
so,,a6,920,1938,,,,,,44,,,,,Minnesota Depart- ment of Conserv,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,,,,,,,,,,,,,,,,,
36,,49730,1939,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
S7,,575700,1938,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
a7 ,,1939,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,080,,,,,,,,,,,,,,,,,,,,,,,,,
b19,,1938,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,
13,,1939,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,065,,,,,,,,,,,,,,,,,,,,,,,,,
b34,,1938,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,969,,,,,,,,,,,,,,,,,,,,,,,,,
all,,1939,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,
b39,,1938,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,, 769,,,,,,,,,,,,,,,,,,,,,,,,,
d34,,1939,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,
15,,1938,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,788,,,,,,,,,,,,,,,,,,,,,,,,,
118,,1939,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,
81,,1938,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1939,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,
734,,1938,Minnesota Depart- ment of Conserv,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,
1,,000,1939,Minnesota Depart- ment of Conserv,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,905,,,,,,,,,,,,,,,,,,,,,,,,,
bd7,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1938,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1939,,,,,,,,,,,,,,,,,,,,,,,,,
NPR,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1938,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1939,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1938,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1939,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1938,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1939,,,,,,,,,,,,,,,,,,,,,,,,,
FMNR,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1938,,,,,,,,,,,,,,,,,,,,,,,,,
cR,,Minnesota Depart- ment of Conserv,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1939,,,,,,,,,,,,,,,,,,,,,,,,,
NPR,,"Minnesota Depart- ment of Conserv""",,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,1938,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,East Fork Rock Creek (Flint Creek Dam) 12-3325,,,,,,IR,,,,,,,,,12BD,46 08 00 113 23,30,1040,42060,16040,< 05,1937,Flint Creek Water Users Assoc,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Ennis Lake Madison River 06-0405,,,,,,PR,,,,,,,,,6AL,45 28 00 111 38,2181,617000,19410000,2192000,20,1900,Montana Power Co,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Flathead Lake (Kerr Dam) Flathead River 12-3710,,,,,,19358,,,,,,,,,12CF,48 04 00 114 14,7086,1860,129100,7010,FIPR,Montana Power Co,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Fort Peck Missouri River 06-1315,,,,,,1939,,,,,,,,,6CK,48 00 00 106 24,57500,46610,105000,127200,FINPR,Corps of Engineers,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Four Horns Badger Creek of 06-0930,,,,,,1932,,,,,,,,,6BR,48 21 00 112 42,2200,7340,98230,31040,IR,Bureau of Indian Affairs,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Frenchman Frenchman River 06-1643,,,,,,1952,,,,,,,,,6DI,48 42 00 107 14,3766,158500,384800,377500,PRW,Montana State Water Conserv Board,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Fresno Milk River 06-1365,,,,,,1939,,,,,,,,,6DB,48 36 00 109 57,50,40140,240400,85200,IR,Bureau of Reclamation,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Georgetown Lake Flint Creek 12-3250,,,,,,1905,,,,,,,,,12BC,46 13 00 113 17,575,70,12100,12100,PR,Montana Power Co,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Gibson Sun River 06-0795,,,,,,1929,,,,,,,,,6BK,47 36 00 112 46,16876,3468000,8420,8350,FIP,Greenfields Irrigation District,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Hauser Lake Missouri River 06-0650,,,,,,1911,,,,,,,,,6BC,46 46 00 111 54,904,1915000,2982000,2982000,PR,Montana Power Co,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Hebgen Madison River 06-0380,,,,,,1915,,,,,,,,,6AK,44 52 00 111 20,17149,105000,105000,105000,PR,Montana Power Co,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Holter Missouri River 06-0660,,,,,,1918,,,,,,,,,6BD,46 59 00 112 01,114,42550,42550,42550,PR,Montana Power Co,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Hubbart Little Bitterroot River 12-3735,,,,,,1925,,,,,,,,,12CG,47 56 00 114 44,1654,377500,377500,377500,FIP,Bureau of Indian Affairs,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Hungry Horse South Pork Flathead River 12-3620,,,,,,1952,,,,,,,,,12cD,48 20 00 114 02,442,5200,12100,2982000,PR,Bureau of Reclamation,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,47,,,,,,,,,,,,Kicking Horse Crow Creek ef 12-3797,,,,,,1930,,,,,,,,,12CH,47 27 00 114 05,3800,2982000,2982000,2982000,PR,"Bureau of Indian Affairs""",,,,,,,,,,,,,,,,
,Plat River,iFF,Fruit of the Loom,41,,,,,60,74,,,,,7,,,Rhode Island,,01-1159,,,,,,,,,,,,,,,,,,,,,,,,,,Flat River,,,,,,,,,,,,,,
,North Branch Pawtuxet River,iFF,City of Providence,41,,,,,50,74,,,,,71,,,Rhode Island,,01-1154,,,,,,,,,,,,,,,,,,,,,,,,,,Scituate,,,,,,,,,,,,,,
,Savannah River,2JH,Corps of Engineers,35,,,,,00,74,,,,,82,,,South Carolina,,02-1945,,,,,,,,,,,,,,,,,,,,,,,,,,Clark Hill,,,,,,,,,,,,,,
,Catawba River,2Gc,Duke Power Co,34,,,,,30,74,,,,,80,,,South Carolina,,02-1473,,,,,,,,,,,,,,,,,,,,,,,,,,Fishing Creek,,,,,,,,,,,,,,
,Savannah River,2Jc,Corps of Engineers,34,,,,,50,74,,,,,82,,,South Carolina,,02-1872,,,,,,,,,,,,,,,,,,,,,,,,,,Hartwell,,,,,,,,,,,,,,
,Buzzards Roost Dam,2GL,Greenwood County Elec Power Comm,34,,,,,00,74,,,,,81,,,South Carolina,,02-1665,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Greenwood,,,,,,,,,,,,,,
,Santee River,2HB,South Carolina Public Service Authority,33,,,,,00,74,,,,,80,,,South Carolina,,02-1710,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Marion,,,,,,,,,,,,,,
,Santee River,2HC,South Carolina Public Service Authority,33,,,,,00,74,,,,,80,,,South Carolina,,02-1720,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Moultrie,,,,,,,,,,,,,,
,Saluda River,2GL,South Carolina Elec and Gas Co,34,,,,,00,74,,,,,81,,,South Carolina,,02-1685,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Murray,,,,,,,,,,,,,,
,Black Creek,2FG,Carolina Power and Light Co,34,,,,,09,74,,,,,80,,,South Carolina,,02-1309,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Robinson,,,,,,,,,,,,,,
,Rocky River,2IC,City of Abbeville,34,,,,,50,74,,,,,82,,,South Carolina,,02-1879,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Secession,,,,,,,,,,,,,,
,Catawba River,2ac,Duke Power Co,35,,,,,33,74,,,,,81,,,South Carolina,,02-1459,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Wylie,,,,,,,,,,,,,,
,North Saluda River,2GK,City of Greenville,35,,,,,25,74,,,,,82,,,South Carolina,,02-1623,,,,,,,,,,,,,,,,,,,,,,,,,,North Saluda,,,,,,,,,,,,,,
,Savannah River,aad,South Carolina Elec and Gas Co,33,,,,,50,74,,,,,82,,,South Carolina,,02-1964,,,,,,,,,,,,,,,,,,,,,,,,,,Stevens Creek,,,,,,,,,,,,,,
,South Saluda River,26K,City of Greenville,35,,,,,70,74,,,,,82,,,South Carolina,,02-1620,,,,,,,,,,,,,,,,,,,,,,,,,,Table Rock,,,,,,,,,,,,,,
,Tugalo River,2JB,Georgia Power Co,34,,,,,00,74,,,,,83,,,South Carolina,,02-1816,,,,,,,,,,,,,,,,,,,,,,,,,,Tugalo,,,,,,,,,,,,,,
,Wateree River,e2GD,Duke Power Co,34,,,,,00,74,,,,,"80""",,,South Carolina,,02-1479,,,,,,,,,,,,,,,,,,,,,,,,,,Wateree,,,,,,,,,,,,,,
,,,103 26,44,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,160100,,,,,,,,,,,,,,,,,,,Bureau of Reclamation,,Angostura,Cheyenne River,6KH 06-4010,249330,156300,,,,,,,,,
,,,103 40,44,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,192000,,,,,,,,,,,,,,,,,,,Bureau of Reclamation,,Belle Fourche (formerly Orman),Belle Fourche River c/,6KD 06-4350,NA,185200,,,,,,,,,
,,,99 03,47,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,1900000,,,,,,,,,,,,,,,,,,,Corps of Engineers,,Big Bend,Missouri River,6LC 06-4427,NA,1516000,,,,,,,,,
,,,103 02,44,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,15718,,,,,,,,,,,,,,,,,,,Bureau of Reclamation,,Deerfield,Castle Creek,6KH 06-4095,9520,15153,,,,,,,,,
,,,98 04,33,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,6093000,,,,,,,,,,,,,,,,,,,Corps of Engineers,,Fort Randall,Missouri River,6LH 06-4525,263500,6095000,,,,,,,,,
,,,NA,80,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,12660,,,,,,,,,,,,,,,,,,,Forest Service,,Lake Sheridan,Spring Creek,6KH 06-4069,7450,NA,,,,,,,,,
,,,96 52,34,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,249500,,,,,,,,,,,,,,,,,,,Corps of Engineers,,Lake Traverse (White Rock Dam),Boise de Sioux River,SOA 05-0499,1160,137000,,,,,,,,,
,,,97 29,29,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,541000,,,,,,,,,,,,,,,,,,,Corps of Engineers,,Lewis and Clark Lake (Gavins Point Dam),Missouri River,6LN 06-4670,279500,523000,,,,,,,,,
,,,98 44,01,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,10560,,,,,,,,,,,,,,,,,,,City of Mitchell,,Mitchell,Firesteel Creek,6LR 06-4776,584,8260,,,,,,,,,
,,,NA,80,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,23630000,,,,,,,,,,,,,,,,,,,Corps of Engineers,,Oahe,Missouri River,6LA 06-4399,NA,23628000,,,,,,,,,
,,,NA,00,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,99100,,,,,,,,,,,,,,,,,,,Bureau of Reclamation,,Pactola,Rapid Creek,6KH 06-4110,NA,98960,,,,,,,,,
,,,NA,00,,,,,,75,,,,,,,,SOUTH DAKOTA,,,,,,,,140000,,,,,,,,,,,,,,,,,,,Bureau of Reclamation,,Shadehill,Grand River,6JV 06-3570,NA,81400,,,,,,,,,
,,,82 36,26,,,,,,75,,,,,,,,TENNESSEE,,,,,,,,2092000,,,,,,,,,,,,,,,,,,,Tennessee Valley Authority,,Boone Lake,South Fork Holston River,3TB 03-4868,1840,1254000,,,,,,,,,
,,,85 36,26,,,,,,75,,,,,,,,TENNESSEE,,,,,,,,104000,,,,,,,,,,,,,,,,,,,Corps of Engineers,,Center Hill,Caney Fork,3RM 03-4240,NA,19800,,,,,,,,,
,,,87 06,50,,,,,,75,,,,,,,,TENNESSEE,,,,,,,,NA,,,,,,,,,,,,,,,,,,,"Corps of Engineers""",,Cheatham Lake,Cumberland River,3S¢ 03-4349,NA,NA,,,,,,,,,
Porcupine,,10HC,,,,,,,Paradise Irrigation Co,86,,,,,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Fork Little Bear Creek,31 45,,,,,,,
Red Creek,,9BB,,,,,,,Red Creek Irrigation Co,86,,,,,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Creek,18 51,,,,,,,
Rockport Lake,,1OHE,,,,,,,Bureau of Reclamation,86,,,,,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weber River,47 84,,,,,,,
Rockyford,,10JF,,,,,,,Beaver County Irrigation Co,86,,,,,,,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beaver River,13 50,,,,,,,
Seipio Lake,,10JF,,,,,,,Scipio Irrigation Co,86,,,,,,,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivie Creek,07 03,,,,,,,
Scofield,,SBI,,,,,,,Bureau of Reclamation,86,,,,,,,1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Price River,47 08,,,,,,,
Sevier Bridge,,10JE,,,,,,,Sevier Bridge Reservoir Co,86,,,,,,,1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sevier River,22 02,,,,,,,
Steinaker,,SBE,,,,,,,Strawberry Water Users Assoc,86,,,,,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashley Creek,30 32,,,,,,,
Strawberry,,9BB,,,,,,,Associated Canal Cos,86,,,,,,,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strawberry River,10 11,,,,,,,
Utah Lake,,10OHP,,,,,,,Corps of Engineers,86,,,,,,,1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan River,22 54,,,,,,,
Ball Mountain,,1GH,,,,,,,Central Vermont Public Serv Corp,86,,,,,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West River,08 46,,,,,,,
Bomoseen,,4PD,,,,,,,Central Vermont Public Serv Corp,86,,,,,,,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castleton River tributary,36 14,,,,,,,
Chittenden,,4PF,,,,,,,New England Power Co,86,,,,,,,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Creek,43 55,,,,,,,
Comerford Station Pond,,1GB,,,,,,,State of Vermont,86,,,,,,,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut River,20 00,,,,,,,
East Barre Detention,,4PG,,,,,,,Village of Morrisville,86,,,,,,,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jail Branch,09 27,,,,,,,
Green River,,4PH,,,,,,,New England Power Co,86,,,,,,,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green River,37 32,,,,,,,
Harriman (Davis Bridge),,1GL,,,,,,,New England Power Co,86,,,,,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deerfield River,48 54,,,,,,,
Littleton Development (Samuel C Moore Dam),,1GB,,,,,,,"New England Power Co""",86,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut River,20 52,,,,,,,
,,,,,,,,,,87,,,,,,,,,,,,,,,,,,P,,Mollys Falls,,,,1500,,,,,,,,,,,,VERMONT,,,,,,,,Mollys Brook,04-2829.50,1926,Green Mountain Power Corp,PA,,
,,,,,,,,,,87,,,,,,,,,,,,,,,,,,FR,,North Hartland,,,,132000,,,,,,,,,,,,VERMONT,,,,,,,,Ottauquechee River,01-1514 00,1961,Corps of Engineers,PA,,
,,,,,,,,,,87,,,,,,,,,,,,,,,,,,FR,,North Springfield,,,,150,,,,,,,,,,,,VERMONT,,,,,,,,Black River,01-1529 00,1960,Corps of Engineers,PA,,
,,,,,,,,,,87,,,,,,,,,,,,,,,,,,P,,Somerset,,,,697900,,,,,,,,,,,,VERMONT,,,,,,,,East Branch Deerfield River,O1-1674 90,1913,New England Power Co,PA,,
